FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--91f2adb_18488613260_134d,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,20,NSI20130418_20,35.26,1,,9,,9,,9,0,1,0,1,,9,0.08,1,0.3,1,,,,,,,,,,,0,0.008,0,0,,,0.006,0,0.056,0.004,0,0.01,0.005,,0,0,0.005,0,0,0.095,0.039,0.008,0.004,0,0.004,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,1,http://hdl.handle.net/102.100.100/27235,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_134e,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,30,NSI20130418_30,35.276,1,1981.46,2,2312.59,1,,9,0,1,0,1,,9,0.09,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27236,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_134f,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,40,NSI20130418_40,35.364,1,,9,,9,,9,0.11,1,0.7,1,,9,0.14,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27237,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1350,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,50,NSI20130418_50,35.594,1,2073.05,2,2333.25,1,,9,0.1,1,5.3,1,,9,0.44,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27238,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1351,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,57,NSI20130418_57,35.577,1,2083.21,2,2335.03,1,,9,0,1,6.4,1,,9,0.51,1,1.5,1,,,,,,,,,,,0,0,0,0,,,0,0,0.023,0.004,0,0,0.003,,0,0,0,0,0,0.023,0,0.004,0,0,0.007,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1352,NRS,North Stradbroke Island,NSI20130418,2013-04-18,2013-04-18 11:05:00,-27.345,153.562,34,WC,NSI20130418_WC,,,,,,,,,,,,,,,,,,,0.5,0.5,0.9,0,28917,1,12280,1,1202.5,1,0,0.008,0,0,,,0.015,0,0.081,0.011,0,0.015,0.008,,0,0,0.004,0,0,0.118,0.037,0.015,0.004,0,0.007,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1353,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,0,NSI20130520_0,35.323,1,1993.01,1,2312.19,1,,9,0.01,1,0,1,,9,0.12,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27239,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1354,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,10,NSI20130520_10,35.275,1,1990.74,1,2311.59,1,,9,0.15,1,0,1,,9,0.12,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27240,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1355,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,20,NSI20130520_20,35.272,1,,9,,9,,9,0.03,1,0,1,,9,0.12,1,0.4,1,,,,,,,,,,,0.003,0.015,0.004,0.005,,,0.027,0,0.259,0.036,0,0.039,0.042,,0.035,0,0.015,0.004,0,0.286,0.027,0.038,0.002,0,0.041,0,0.052,0,0.009,0,0,0.006,0,0,0,0,0.008,0,0,0.003,0.046,0,http://hdl.handle.net/102.100.100/27241,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1356,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,30,NSI20130520_30,35.27,1,1992.84,1,2309.91,1,,9,0.04,1,0,1,,9,0.12,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27242,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1357,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,40,NSI20130520_40,35.274,1,,9,,9,,9,0.02,1,0,1,,9,0.12,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27243,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1358,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,50,NSI20130520_50,35.266,1,1995.03,1,2310.51,1,,9,0,1,0,1,,9,0.14,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27244,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1359,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:15:00,-27.345,153.562,17,57,NSI20130520_57,35.268,1,1999.81,1,2318.66,1,,9,0.3,1,0.3,1,,9,0.16,1,0.7,1,,,,,,,,,,,0.003,0.013,0.003,0.003,,,0.02,0,0.356,0.044,0,0.043,0.063,,0.019,0,0.017,0.003,0,0.372,0.016,0.046,0.002,0,0.115,0,0.038,0,0.012,0,0,0.008,0,0,0,0,0.008,0,0,0.003,0.019,0,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135a,NRS,North Stradbroke Island,NSI20130520,2013-05-20,2013-05-20 10:25:00,-27.345,153.562,17,WC,NSI20130520_WC,,,,,,,,,,,,,,,,,,,0.6,0.6,1.1,0,,,,,,,0.004,0.016,0.004,0.005,,,0.032,0,0.333,0.045,0,0.043,0.043,,0.011,0,0.012,0.005,0,0.361,0.028,0.047,0.002,0,0.049,0,0.058,0,0.007,0,0,0.007,0,0,0,0,0.008,0,0,0.002,0.04,0,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135b,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,0,NSI20130706_0,35.491,1,2009.54,1,2329.51,1,,9,2.6,4,0,1,,9,0.1,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27245,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135c,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,10,NSI20130706_10,35.492,1,2009.87,1,2331.52,1,,9,0,1,0,1,,9,0.12,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27246,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135d,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,20,NSI20130706_20,35.512,1,,9,,9,,9,0.26,1,0.1,1,,9,0.14,1,1,1,,,,,,,,,,,0,0.018,0.003,0,,,0.015,0,0.228,0.019,0,0.042,0.034,,0.027,0,0.007,0,0,0.31,0.082,0.031,0.012,0,0.035,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,1,http://hdl.handle.net/102.100.100/27247,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135e,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,30,NSI20130706_30,35.542,1,2016.44,1,2330.23,1,,9,0.61,4,0.1,1,,9,0.11,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27248,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_135f,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,40,NSI20130706_40,35.528,1,,9,,9,,9,0.16,1,0.6,1,,9,0.11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27249,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1360,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,50,NSI20130706_50,35.528,1,2049.34,1,2334.32,1,,9,0.09,1,3.3,1,,9,0.23,1,2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27250,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1361,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 09:45:00,-27.345,153.562,23,57,NSI20130706_57,35.527,1,2065.05,1,2330.53,1,,9,0.32,1,4.5,1,,9,0.35,1,2.3,1,,,,,,,,,,,0,0.002,0,0,,,0.004,0,0.035,0.007,0,0.005,0.004,,0,0,0.001,0,0,0.041,0.006,0.009,0.002,0,0.005,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1362,NRS,North Stradbroke Island,NSI20130706,2013-07-06,2013-07-07 10:20:00,-27.345,153.562,23,WC,NSI20130706_WC,,,,,,,,,,,,,,,,,,,0.6,0.6,0.9,0,66712,2,28843.5,2,3796,2,0,0.016,0,0,,,0.015,0,0.2,0.019,0,0.035,0.02,,0.01,0,0.006,0,0,0.27,0.07,0.035,0.016,0,0.029,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1363,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,0,NSI20130806_0,35.518,1,2010.98,1,2328.01,1,,9,0.95,4,0,1,,9,0.11,1,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27251,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1364,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,10,NSI20130806_10,35.518,1,2008.61,1,2328.5,1,,9,0.02,1,0,1,,9,0.11,1,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27252,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1365,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,20,NSI20130806_20,35.592,1,,9,,9,,9,0.84,4,0,1,,9,0.11,1,0.2,1,,,,,,,,,,,0,0.006,0,0,,,0.01,0,0.253,0.008,0,0.063,0.049,,0.065,0,0.013,0,0,0.253,0,0.008,0,0,0.011,0,0.022,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0.004,1,http://hdl.handle.net/102.100.100/27253,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1366,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,30,NSI20130806_30,35.516,1,2034.69,1,2329.17,1,,9,0.16,1,1.4,1,,9,0.22,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27254,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1367,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,40,NSI20130806_40,35.534,1,,9,,9,,9,0.12,1,5.7,1,,9,0.42,1,2.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27255,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1368,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,50,NSI20130806_50,35.521,1,2083.04,1,2328.19,1,,9,0,1,6.4,1,,9,0.4,1,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27256,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1369,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 10:20:00,-27.345,153.562,23,57,NSI20130806_57,35.511,1,2085.87,1,2327.97,1,,9,0.03,1,6.4,1,,9,0.47,1,3,1,,,,,,,,,,,0,0,0,0,,,0.002,0,0.043,0,0,0.008,0.004,,0.004,0,0.002,0,0,0.043,0,0,0,0,0.018,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136a,NRS,North Stradbroke Island,NSI20130806,2013-08-06,2013-08-06 11:10:00,-27.345,153.562,23,WC,NSI20130806_WC,,,,,,,,,,,,,,,,,,,0.6,0.6,1.2,0,,4,,4,,4,0,0.006,0,0,,,0.013,0,0.248,0.006,0,0.046,0.059,,0.046,0,0.011,0,0,0.248,0,0.006,0,0,0.098,0,0.024,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0.004,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136b,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,0,NSI20130819_0,35.538,1,2001.53,1,2329.09,1,,9,0.07,1,0,1,,9,0.07,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27257,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136c,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,10,NSI20130819_10,35.535,1,2004.75,1,2329.66,1,,9,0.06,1,0,1,,9,0.08,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27258,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136d,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,20,NSI20130819_20,35.593,1,,9,,9,,9,0.14,1,3.5,1,,9,0.28,1,1,1,,,,,,,,,,,0,0.023,0,0,,,0.026,0,1.095,0.006,0,0.285,0.276,,0.273,0,0.084,0.009,0,1.104,0.009,0.006,0,0,0.554,0,0.047,0,0,0,0,0.004,0,0.291,0,0,0,0,0,0,0.004,1,http://hdl.handle.net/102.100.100/27259,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136e,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,30,NSI20130819_30,35.422,2,2082.93,1,2334.8,1,,9,0.06,1,5.9,1,,9,0.45,1,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27260,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_136f,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,40,NSI20130819_40,35.565,1,,9,,9,,9,0.04,1,6.4,1,,9,0.47,1,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27261,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1370,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,50,NSI20130819_50,35.515,1,2092.31,1,2327.7,1,,9,0.28,1,7.3,1,,9,0.4,1,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27262,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1371,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 10:15:00,-27.345,153.562,13,57,NSI20130819_57,35.54,1,2092.92,1,2328.44,1,,9,0.1,1,7.3,1,,9,0.45,1,3,1,,,,,,,,,,,0,0,0,0,,,0.002,0,0.057,0,0,0.008,0.007,,0.004,0,0.003,0,0,0.057,0,0,0,0,0.021,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1372,NRS,North Stradbroke Island,NSI20130819,2013-08-19,2013-08-19 11:00:00,-27.345,153.562,13,WC,NSI20130819_WC,,,,,,,,,,,,,,,,,,,0.4,0.4,0.9,0,,4,,4,,4,0,0.009,0,0,,,0.012,0,0.435,0.009,0,0.085,0.067,,0.048,0,0.018,0.003,0,0.443,0.008,0.009,0,0,0.176,0,0.024,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0.006,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1373,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,0,NSI20130913_0,35.589,1,2016.61,1,2328.18,1,,9,0,1,0,1,,9,0.12,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27263,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1374,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,10,NSI20130913_10,35.584,1,2017.53,1,2329.77,1,,9,0.26,1,0,1,,9,0.12,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27264,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1375,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,20,NSI20130913_20,35.569,1,,9,,9,,9,0.06,1,0,1,,9,0.11,1,0.7,1,,,,,,,,,,,0,0.006,0,0,,,0.004,0,0.126,0.009,0,0,0.004,,0.005,0,0.003,0,0,0.139,0.013,0.009,0,0,0.009,0,0.009,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0.042,0,http://hdl.handle.net/102.100.100/27265,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1376,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,30,NSI20130913_30,35.569,1,2019.03,1,2327.12,1,,9,0.03,1,0,1,,9,0.12,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27266,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1377,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,40,NSI20130913_40,35.566,1,,9,,9,,9,0,1,0,1,,9,0.12,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27267,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1378,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,50,NSI20130913_50,35.56,1,2023.94,1,2327.8,1,,9,0,1,0.3,1,,9,0.16,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27268,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1379,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 10:30:00,-27.345,153.562,19,57,NSI20130913_57,35.565,1,2026.35,1,2327.1,1,,9,0.05,1,0.4,1,,9,0.14,1,0.9,1,,,,,,,,,,,0,0.006,0,0,,,0.004,0,0.151,0.017,0,0,0.013,,0,0,0.004,0,0,0.163,0.012,0.017,0,0,0.029,0,0.015,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0.017,0,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137a,NRS,North Stradbroke Island,NSI20130913,2013-09-13,2013-09-13 11:10:00,-27.345,153.562,19,WC,NSI20130913_WC,,,,,,,,,,,,,,,,,,,0.7,0.7,1.1,0,,4,,4,,4,0,0.007,0,0,,,0.006,0,0.143,0.017,0,0,0.01,,0.007,0,0.003,0,0,0.154,0.011,0.017,0,0,0.014,0,0.015,0,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0.038,0,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137b,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,0,NSI20131016_0,35.596,1,2038.12,1,2328.86,1,,9,0.15,1,0.4,1,,9,0.1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27269,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137c,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,10,NSI20131016_10,35.61,1,2039.61,1,2329.66,1,,9,0.37,1,0.5,1,,9,0.15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27270,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137d,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,20,NSI20131016_20,35.645,1,,9,,9,,9,7.97,4,0.6,1,,9,0.16,1,1,1,,,,,,,,,,,0.003,0.009,0.004,0.006,,,0.014,0,0.27,0.043,0,0.036,0.018,,0.047,0,0.01,0.003,0,0.27,0,0.043,0,0,0.055,0,0.021,0,0.012,0,0,0.009,0.004,0,0,0,0.01,0,0,0.004,0.029,1,http://hdl.handle.net/102.100.100/27271,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137e,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,30,NSI20131016_30,35.589,1,2039.51,1,2327.92,1,,9,0.22,1,0.8,1,,9,0.11,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27272,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_137f,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,40,NSI20131016_40,35.6,1,,9,,9,,9,0.3,1,4.4,1,,9,0.34,1,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27273,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1380,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,50,NSI20131016_50,35.483,1,2092.4,1,2326.15,1,,9,0.66,1,5.6,1,,9,0.3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/27274,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1381,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,57,NSI20131016_57,35.499,1,2085.63,1,2325.49,1,,9,0.99,1,5.7,1,,9,0.3,1,2,1,,,,,,,,,,,0.012,0.026,0.005,0.006,,,0.018,0,1.113,0.086,0,0.198,0.157,,0.281,0,0.066,0.01,0,1.113,0,0.086,0,0,0.507,0,0.005,0,0.003,0,0,0.012,0.017,0,0,0,0.031,0,0,0.005,0.024,1,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1382,NRS,North Stradbroke Island,NSI20131016,2013-10-16,2013-10-16 11:40:00,-27.345,153.562,19,WC,NSI20131016_WC,,,,,,,,,,,,,,,,,,,0.6,0.6,1.1,0,3654.5,1,28964.5,1,6594,1,0.009,0.01,0.004,0.004,,,0.025,0,0.374,0.034,0,0.083,0.071,,0.197,0,0.021,0.003,0,0.374,0,0.034,0,0,0.168,0,0.046,0,0.01,0,0,0.009,0.005,0,0,0,0.013,0,0,0.004,0.251,1,,POINT (153.562 -27.345)
