FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--91f2adb_18488613260_1222,NRS,North Stradbroke Island,NSI20091115,2009-11-15,2009-11-16 10:30:00,-27.345,153.562,20,WC,NSI20091115_WC,,,,,,,,,,,,,,,,,,,,,,,25772.5,1,56154.5,1,1995,1,0,0.004,0,0,,,0.013,0,0.11,0.01,0,0.006,0,,0,0,0.006,0,0,0.11,0,0.01,0,0,0.018,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,2,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1223,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,0,NSI20091215_0,35.585,1,2015.49,1,2329.95,1,,9,0.12,1,0,1,,9,0.04,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1224,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,10,NSI20091215_10,35.574,1,2022.81,1,2329.95,1,,9,0.12,1,0,1,,9,0.06,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1225,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,20,NSI20091215_20,35.565,1,,9,,9,,9,0.66,1,0.4,1,,9,0.1,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1226,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,30,NSI20091215_30,35.548,1,2057.12,1,2327.84,1,,9,0.38,1,2.2,1,,9,0.22,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1227,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,40,NSI20091215_40,35.548,1,,9,,9,,9,0.36,1,3.9,1,,9,0.37,1,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1228,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,50,NSI20091215_50,35.541,1,2074.21,1,2330.44,1,,9,0.27,1,3.9,1,,9,0.32,1,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1229,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:15:00,-27.345,153.562,13.5,57,NSI20091215_57,35.54,1,2088.15,1,2329.6,1,,9,2.43,2,6.2,1,,9,0.49,1,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122a,NRS,North Stradbroke Island,NSI20091215,2009-12-15,2009-12-16 09:00:00,-27.345,153.562,13.5,WC,NSI20091215_WC,,,,,,,,,,,,,,,,,,,,,,,14852.5,1,45035,1,8285,1,0.004,0.023,0,0.007,,,0.008,0,1.297,0.066,0.204,0,0.062,,0,0,0.058,0.022,0,1.297,0,0.066,0,0,0.577,0,0.03,0,0.003,0,0,0.005,0.008,0,0,0,0.009,0,0,0.003,0.035,2,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122b,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,0,NSI20100121_0,35.44,1,1993.87,1,2313.8,1,,9,0.03,1,0,1,,9,0.05,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122c,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,10,NSI20100121_10,35.47,1,1992.43,1,2312.76,1,,9,0,1,0,1,,9,0.05,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122d,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,20,NSI20100121_20,35.452,1,,9,,9,,9,0,1,0,1,,9,0.04,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122e,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,30,NSI20100121_30,35.445,1,1994.18,1,2313.43,1,,9,0,1,0,1,,9,0.05,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_122f,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,40,NSI20100121_40,35.47,1,,9,,9,,9,0.29,1,0.9,1,,9,0.24,1,2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1230,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,50,NSI20100121_50,35.498,1,2086.27,1,2316.74,1,,9,0.55,1,4.9,1,,9,0.74,1,7.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1231,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,57,NSI20100121_57,35.512,1,2100.4,1,2322.49,1,,9,0.26,1,4.7,1,,9,0.43,1,4.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1232,NRS,North Stradbroke Island,NSI20100121,2010-01-21,2010-01-22 10:00:00,-27.345,153.562,29,WC,NSI20100121_WC,,,,,,,,,,,,,,,,,,,0.4,0.4,0.8,1,16805.5,1,53172.5,1,3392,1,0,0.009,0,0,,,0.012,0,0.194,0.039,0,0.012,0,,0,0,0.006,0,0,0.194,0,0.039,0,0,0.02,0,0.03,0,0,0,0,0.004,0,0,0,0,0.007,0,0,0.002,0.053,2,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1233,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,0,NSI20100214_0,35.398,1,1987.7,1,2307.97,1,,9,0.02,1,0,1,,9,0.04,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1234,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,10,NSI20100214_10,35.386,1,1982.32,1,2308.24,1,,9,0.02,1,0,1,,9,0.04,1,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1235,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,20,NSI20100214_20,35.454,1,,9,,9,,9,0,1,0.1,1,,9,0.1,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1236,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,30,NSI20100214_30,35.534,1,2050.29,1,2321.71,1,,9,0.15,1,2,1,,9,0.26,1,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
