Survey: in2022_v06
Deployment: 13
Start time: 19-Jul-2022 05:49:14
Bottom time: 19-Jul-2022 06:01:06
End time: 19-Jul-2022 06:23:45
Water depth: NaN
Pressure bin: 1
Max scans: 240000000000

DateTime,Pressure,"Primary Temperature","Primary Salinity","Secondary Temperature","Secondary Salinity","Primary SBE43 Oxygen","Secondary SBE43 Oxygen","PAR","Transmissometer","Fluorescence, WET Labs ECO-AFL/FL","Turbidity, WET Labs ECO BB","Wetlabs CDOM"
2022-07-19 05:49:14,3.3,22.387,35.376,22.387,35.376,218.29,217.99,29.72,97.87,0.437799990,0.000148020,-0.107125004
2022-07-19 05:49:16,4.0,22.387,35.376,22.387,35.376,218.63,217.91,26.45,97.93,0.434457128,0.000151074,-0.136871433
2022-07-19 05:49:18,5.0,22.386,35.377,22.386,35.376,218.63,217.68,23.56,97.91,0.432257310,0.000152533,-0.124569394
2022-07-19 05:49:21,6.0,22.384,35.377,22.384,35.376,218.41,217.49,21.69,97.87,0.432341160,0.000151927,-0.120796617
2022-07-19 05:49:23,7.0,22.386,35.377,22.386,35.376,218.55,217.42,20.17,97.80,0.434333029,0.000150949,-0.119772808
2022-07-19 05:49:25,8.0,22.390,35.377,22.391,35.376,218.85,217.43,18.87,97.71,0.438681687,0.000149801,-0.120920366
2022-07-19 05:49:27,9.0,22.394,35.377,22.396,35.376,219.16,217.44,17.55,97.62,0.442689712,0.000148662,-0.120531767
2022-07-19 05:49:29,10.0,22.396,35.377,22.397,35.375,219.34,217.52,16.33,97.62,0.441261174,0.000149470,-0.123110484
2022-07-19 05:49:31,11.0,22.395,35.376,22.396,35.375,219.44,217.66,15.25,97.69,0.434705036,0.000151965,-0.123270533
2022-07-19 05:49:33,12.0,22.394,35.376,22.395,35.375,219.53,217.80,14.16,97.75,0.428496827,0.000154331,-0.124479133
2022-07-19 05:49:35,13.0,22.394,35.376,22.394,35.375,219.63,217.94,13.07,97.82,0.422288618,0.000156697,-0.125687732
2022-07-19 05:49:37,14.0,22.393,35.376,22.393,35.375,219.73,218.08,11.97,97.88,0.416080409,0.000159064,-0.126896332
2022-07-19 05:49:38,15.0,22.392,35.376,22.392,35.375,219.72,218.23,11.05,97.93,0.410072933,0.000161173,-0.130714308
2022-07-19 05:49:40,16.0,22.387,35.376,22.389,35.375,219.53,218.38,10.64,97.92,0.413281120,0.000161764,-0.124850740
2022-07-19 05:49:42,17.0,22.381,35.376,22.383,35.376,219.63,218.39,9.83,97.91,0.423290130,0.000161599,-0.115885989
