Survey: in2022_v06
Deployment: 11
Start time: 18-Jul-2022 06:17:06
Bottom time: 18-Jul-2022 07:17:44
End time: 18-Jul-2022 09:22:40
Water depth: 3244.3398
Pressure bin: 1
Max scans: 240000000000

DateTime,Pressure,"Primary Temperature","Primary Salinity","Secondary Temperature","Secondary Salinity","Primary SBE43 Oxygen","Secondary SBE43 Oxygen","PAR","Transmissometer","Fluorescence, WET Labs ECO-AFL/FL","Turbidity, WET Labs ECO BB","Wetlabs CDOM"
2022-07-18 06:17:08,4.3,21.586,35.528,21.587,35.528,220.74,219.12,35.86,97.86,0.368543072,0.000181492,-0.089640900
2022-07-18 06:17:13,5.0,21.583,35.528,21.588,35.528,220.62,218.90,33.34,97.84,0.371196810,0.000188914,-0.089999964
2022-07-18 06:17:22,6.0,21.581,35.528,21.586,35.527,220.67,219.27,30.91,97.82,0.374180037,0.000188065,-0.087244737
2022-07-18 06:17:31,7.0,21.580,35.528,21.584,35.527,220.72,219.64,28.48,97.81,0.377163265,0.000187217,-0.084489509
2022-07-18 06:17:40,8.0,21.578,35.528,21.582,35.527,220.76,220.01,26.05,97.79,0.380146493,0.000186368,-0.081734282
2022-07-18 06:17:48,9.0,21.567,35.527,21.576,35.527,220.73,220.41,24.24,97.77,0.388335318,0.000183824,-0.084778237
2022-07-18 06:17:52,10.0,21.555,35.528,21.561,35.527,220.10,220.20,22.35,97.77,0.387341013,0.000188903,-0.075290150
2022-07-18 06:17:54,11.0,21.553,35.528,21.557,35.527,220.39,220.46,21.03,97.74,0.382635685,0.000188292,-0.067823789
2022-07-18 06:17:57,12.0,21.551,35.529,21.555,35.528,220.10,220.62,19.32,97.71,0.393611664,0.000190463,-0.061650104
2022-07-18 06:18:00,13.0,21.548,35.529,21.552,35.528,220.15,220.90,18.00,97.77,0.378552921,0.000227525,-0.080275590
2022-07-18 06:18:02,14.0,21.540,35.530,21.547,35.529,220.07,220.72,16.97,97.74,0.383553315,0.000182567,-0.080192540
2022-07-18 06:18:05,15.0,21.533,35.532,21.542,35.530,219.93,220.33,15.67,97.76,0.386856576,0.000185532,-0.094223469
2022-07-18 06:18:08,16.0,21.527,35.533,21.533,35.531,219.87,220.74,14.48,97.77,0.387999053,0.000187906,-0.074521134
2022-07-18 06:18:10,17.0,21.525,35.533,21.529,35.532,220.27,220.88,13.79,97.76,0.392066782,0.000210820,-0.084695171
2022-07-18 06:18:13,18.0,21.526,35.533,21.530,35.532,220.21,220.42,12.66,97.80,0.407900067,0.000189538,-0.064041313
2022-07-18 06:18:16,19.0,21.525,35.533,21.527,35.532,220.15,220.64,11.96,97.78,0.405091209,0.000193746,-0.080850485
2022-07-18 06:18:18,20.0,21.525,35.533,21.526,35.533,220.15,220.61,11.27,97.79,0.402661775,0.000182572,-0.077409600
2022-07-18 06:18:20,21.0,21.525,35.533,21.525,35.533,220.36,220.55,10.64,97.72,0.393799990,0.000191585,-0.116634477
2022-07-18 06:18:22,22.0,21.525,35.533,21.525,35.533,220.66,220.42,9.97,97.84,0.393608349,0.000192728,-0.080503285
2022-07-18 06:18:25,23.0,21.526,35.534,21.526,35.533,220.09,220.24,9.46,97.85,0.393132181,0.000189426,-0.068134231
2022-07-18 06:18:27,24.0,21.527,35.534,21.527,35.533,219.53,220.05,8.94,97.85,0.392677779,0.000186156,-0.056116295
2022-07-18 06:18:30,25.0,21.528,35.534,21.528,35.533,219.35,219.98,8.57,97.82,0.390816580,0.000195897,-0.058194549
2022-07-18 06:18:33,26.0,21.527,35.535,21.528,35.533,220.05,220.11,8.15,97.85,0.390319508,0.000188199,-0.060244343
2022-07-18 06:18:35,27.0,21.526,35.537,21.528,35.534,219.46,220.46,7.81,97.86,0.384743724,0.000194471,-0.048508926
2022-07-18 06:18:37,28.0,21.520,35.541,21.526,35.536,218.76,220.51,7.49,97.87,0.400944913,0.000195525,-0.061102505
2022-07-18 06:18:40,29.0,21.503,35.549,21.520,35.541,219.15,220.55,7.19,97.87,0.424229070,0.000199538,-0.063456235
2022-07-18 06:18:43,30.0,21.490,35.552,21.506,35.546,218.84,220.20,6.95,97.88,0.419936893,0.000204658,-0.063119931
2022-07-18 06:18:47,31.0,21.480,35.554,21.492,35.549,218.89,219.98,6.73,97.89,0.418536204,0.000208088,-0.070338294
2022-07-18 06:18:51,32.0,21.470,35.556,21.478,35.552,218.94,219.75,6.51,97.89,0.417056297,0.000211510,-0.075917022
2022-07-18 06:18:55,33.0,21.461,35.557,21.464,35.555,219.00,219.51,6.29,97.90,0.415456253,0.000214667,-0.082889048
2022-07-18 06:18:59,34.0,21.452,35.559,21.452,35.558,218.93,219.33,6.06,97.90,0.416972579,0.000224279,-0.078935564
2022-07-18 06:19:00,35.0,21.445,35.559,21.445,35.559,218.88,219.60,5.82,97.86,0.427648623,0.000216017,-0.082378196
2022-07-18 06:19:01,36.0,21.442,35.560,21.442,35.559,219.31,218.98,5.59,97.88,0.435250005,0.000213803,-0.055025987
2022-07-18 06:19:02,37.0,21.439,35.560,21.439,35.559,219.08,218.97,5.25,97.91,0.448054796,0.000210333,-0.058561213
2022-07-18 06:19:03,38.0,21.436,35.559,21.437,35.559,218.86,218.92,4.94,97.91,0.457975452,0.000216501,-0.049016882
2022-07-18 06:19:04,39.0,21.434,35.559,21.435,35.559,218.84,219.25,4.82,97.92,0.459800005,0.000210232,-0.092428955
2022-07-18 06:19:05,40.0,21.435,35.560,21.435,35.559,218.81,219.97,4.69,97.87,0.502824665,0.000218054,-0.082268527
2022-07-18 06:19:06,41.0,21.433,35.559,21.433,35.559,218.86,220.07,4.50,97.87,0.465812258,0.000208025,-0.106249855
2022-07-18 06:19:07,42.0,21.430,35.559,21.430,35.559,218.67,219.59,4.29,97.96,0.456958237,0.000224494,-0.056287620
2022-07-18 06:19:08,43.0,21.428,35.559,21.429,35.559,218.89,219.36,4.10,97.97,0.468482511,0.000220801,-0.088996997
2022-07-18 06:19:09,44.0,21.432,35.561,21.431,35.560,218.96,219.54,3.88,97.96,0.467090089,0.000202550,-0.074984665
2022-07-18 06:19:10,45.0,21.436,35.563,21.437,35.562,218.71,219.64,3.63,97.98,0.438267998,0.000197242,-0.059126101
2022-07-18 06:19:11,46.0,21.438,35.564,21.438,35.563,218.57,219.35,3.42,98.05,0.411339434,0.000196088,-0.077824151
2022-07-18 06:19:12,47.0,21.438,35.564,21.438,35.564,218.75,219.02,3.28,98.09,0.400677278,0.000193760,-0.044819814
2022-07-18 06:19:13,48.0,21.438,35.565,21.438,35.564,218.37,218.64,3.16,98.20,0.414728978,0.000207891,-0.096722489
2022-07-18 06:19:14,49.0,21.438,35.565,21.438,35.565,217.84,218.37,3.03,98.25,0.418846115,0.000233365,-0.090674126
2022-07-18 06:19:15,50.0,21.438,35.565,21.438,35.565,217.55,218.33,2.89,98.22,0.382120418,0.000243781,-0.095578384
2022-07-18 06:19:16,51.0,21.436,35.565,21.437,35.565,218.10,218.41,2.75,98.16,0.373847175,0.000220328,-0.089435227
2022-07-18 06:19:17,52.0,21.432,35.563,21.435,35.564,218.36,218.57,2.60,98.28,0.408742701,0.000197762,-0.079802312
2022-07-18 06:19:18,53.0,21.426,35.562,21.428,35.562,218.05,218.56,2.48,98.29,0.459247092,0.000197919,-0.082957642
2022-07-18 06:19:19,54.0,21.423,35.562,21.425,35.562,218.20,218.61,2.36,98.30,0.417094006,0.000200521,-0.070437379
2022-07-18 06:19:20,55.0,21.419,35.560,21.421,35.561,217.89,218.78,2.26,98.26,0.439405987,0.000211971,-0.123916657
2022-07-18 06:19:21,56.0,21.411,35.559,21.414,35.559,217.99,218.54,2.16,98.27,0.415800005,0.000197497,-0.082046704
2022-07-18 06:19:22,57.0,21.408,35.558,21.410,35.558,218.41,218.60,2.05,98.30,0.415470559,0.000215875,-0.109587970
2022-07-18 06:19:24,58.0,21.407,35.558,21.407,35.558,218.41,218.61,1.96,98.12,0.409519888,0.000191756,-0.090538486
